UF,Programa Local,Previsto Original em 2022,Previsto Ajustado em 2022,Despesa Executado em 2022,Total de Atendimentos em 2022,,Ano,Mes,Previsto Original em 2021,Previsto Ajustado em 2021,Despesa Executado em 2021,Total de Atendimentos em 2021,Previsto Original em 2020,Previsto Ajustado em 2020,Despesa Executado em 2020,Total de Atendimentos em 2020,Previsto Original em 2025,Previsto Ajustado em 2025,Despesa Executado em 2025,Total de Atendimentos em 2025,Previsto Original em 2024,Previsto Ajustado em 2024,Despesa Executado em 2024,Total de Atendimentos em 2024,Previsto Original em 2023,Previsto Ajustado em 2023,Despesa Executado em 2023,Total de Atendimentos em 2023,Previsto Original em 2015,Previsto Ajustado em 2015,Despesa Executado em 2015,Total de Atendimentos em 2015,Previsto Original em 2017,Previsto Ajustado em 2017,Despesa Executado em 2017,Total de Atendimentos em 2017,Previsto Original em 2016,Previsto Ajustado em 2016,Despesa Executado em 2016,Total de Atendimentos em 2016,Previsto Original em 2018,Previsto Ajustado em 2018,Despesa Executado em 2018,Total de Atendimentos em 2018
CE,MPE Brasil - Prêmio de Competitividade para MPE,nan,nan,nan,nan,,2015,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$138.000,00","R$89.030,00","R$40.624,69",45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CE,POLO MODA CEARÁ,nan,nan,nan,nan,,2015,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$1.450.000,00","R$722.180,00","R$319.347,21",175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CE,Programa SEBRAE de Artesanato do Estado do Ceará,nan,nan,nan,nan,,2015,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$3.273.852,00","R$1.002.875,00","R$782.196,25",1.538,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CE,SELO DE QUALIDADE EM SERVIÇOS,nan,nan,nan,nan,,2015,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$988.690,00","R$797.600,00","R$154.409,14",286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DF,DF - Potencialização do Atendimento Especializado - GENER-GAPE-AGEP,nan,nan,nan,nan,,2023,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$4.128.000,00","R$2.266.826,00","R$2.135.296,47",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DF,DF - Potencialização do Atendimento Especializado,"R$7.479.390,00","R$4.786.224,00","R$3.114.158,77",103,,2022,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,nan,nan,nan,nan,,2025,Janeiro,nan,nan,nan,nan,nan,nan,nan,nan,"R$7.990.000,00","R$7.847.375,00","R$264.944,75",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,nan,nan,nan,nan,,2025,Fevereiro,nan,nan,nan,nan,nan,nan,nan,nan,"R$7.990.000,00","R$8.014.029,00","R$462.164,34",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,nan,nan,nan,nan,,2025,Março,nan,nan,nan,nan,nan,nan,nan,nan,"R$7.990.000,00","R$8.286.349,00","R$687.059,34",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,nan,nan,nan,nan,,2025,Abril,nan,nan,nan,nan,nan,nan,nan,nan,"R$7.990.000,00","R$8.287.273,00","R$1.026.382,76",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,nan,nan,nan,nan,,2025,Maio,nan,nan,nan,nan,nan,nan,nan,nan,"R$7.990.000,00","R$8.287.273,00","R$1.391.864,86",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,nan,nan,nan,nan,,2025,Junho,nan,nan,nan,nan,nan,nan,nan,nan,"R$7.990.000,00","R$8.552.573,00","R$1.719.750,51",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,nan,nan,nan,nan,,2025,Julho,nan,nan,nan,nan,nan,nan,nan,nan,"R$7.990.000,00","R$7.197.573,00","R$2.269.251,90",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,nan,nan,nan,nan,,2025,Agosto,nan,nan,nan,nan,nan,nan,nan,nan,"R$7.990.000,00","R$9.346.543,00","R$2.751.948,52",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,nan,nan,nan,nan,,2024,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$5.384.885,00","R$6.057.930,00","R$3.965.342,15",4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ES,PROGRAMA LOCAL - Modernização da Gestão e Fortalecimento Institucional do Sebrae/ES,nan,nan,nan,nan,,2023,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$10.869.336,00","R$10.982.622,00","R$8.438.463,83",44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ES,Modernização de Gestão SEBRAE/ES,"R$7.056.991,00","R$7.140.543,00","R$5.643.075,73",0,,2022,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ES,Modernização de Gestão SEBRAE/ES,nan,nan,nan,nan,,2021,Novembro,"R$1.500.703,00","R$1.432.695,00","R$820.536,05",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Atendimento,nan,nan,nan,nan,,2025,Janeiro,nan,nan,nan,nan,nan,nan,nan,nan,"R$14.961.780,00","R$18.205.731,00","R$638.665,72",530,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Inovação,nan,nan,nan,nan,,2025,Janeiro,nan,nan,nan,nan,nan,nan,nan,nan,"R$712.306,00","R$869.899,00","R$0,00",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Atendimento,nan,nan,nan,nan,,2025,Fevereiro,nan,nan,nan,nan,nan,nan,nan,nan,"R$14.961.780,00","R$16.805.731,00","R$1.376.534,67",1.160,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Inovação,nan,nan,nan,nan,,2025,Fevereiro,nan,nan,nan,nan,nan,nan,nan,nan,"R$712.306,00","R$869.899,00","R$0,00",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Atendimento,nan,nan,nan,nan,,2025,Março,nan,nan,nan,nan,nan,nan,nan,nan,"R$14.961.780,00","R$16.930.731,00","R$1.609.459,93",2.651,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Inovação,nan,nan,nan,nan,,2025,Março,nan,nan,nan,nan,nan,nan,nan,nan,"R$712.306,00","R$869.899,00","R$5.735,35",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Atendimento,nan,nan,nan,nan,,2025,Abril,nan,nan,nan,nan,nan,nan,nan,nan,"R$14.961.780,00","R$16.930.731,00","R$3.507.351,44",5.963,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Inovação,nan,nan,nan,nan,,2025,Abril,nan,nan,nan,nan,nan,nan,nan,nan,"R$712.306,00","R$1.437.179,00","R$122.262,59",20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Atendimento,nan,nan,nan,nan,,2025,Maio,nan,nan,nan,nan,nan,nan,nan,nan,"R$14.961.780,00","R$16.526.451,00","R$4.904.242,46",7.201,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Inovação,nan,nan,nan,nan,,2025,Maio,nan,nan,nan,nan,nan,nan,nan,nan,"R$712.306,00","R$1.680.299,00","R$285.423,78",55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Atendimento,nan,nan,nan,nan,,2025,Junho,nan,nan,nan,nan,nan,nan,nan,nan,"R$14.961.780,00","R$15.630.459,00","R$5.570.753,90",9.256,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Inovação,nan,nan,nan,nan,,2025,Junho,nan,nan,nan,nan,nan,nan,nan,nan,"R$712.306,00","R$1.680.299,00","R$384.462,53",177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Atendimento,nan,nan,nan,nan,,2025,Julho,nan,nan,nan,nan,nan,nan,nan,nan,"R$14.961.780,00","R$15.733.459,00","R$6.781.063,17",9.851,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Inovação,nan,nan,nan,nan,,2025,Julho,nan,nan,nan,nan,nan,nan,nan,nan,"R$712.306,00","R$1.680.299,00","R$455.775,59",180,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Atendimento,nan,nan,nan,nan,,2025,Agosto,nan,nan,nan,nan,nan,nan,nan,nan,"R$14.961.780,00","R$15.741.459,00","R$7.059.809,74",10.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Inovação,nan,nan,nan,nan,,2025,Agosto,nan,nan,nan,nan,nan,nan,nan,nan,"R$712.306,00","R$1.680.299,00","R$501.821,86",236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Atendimento,nan,nan,nan,nan,,2024,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$20.460.185,00","R$13.527.741,00","R$9.696.161,25",13.197,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,GO - Programa Local de Inovação,nan,nan,nan,nan,,2024,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$589.600,00","R$1.238.174,00","R$802.700,20",959,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,Programa Local de Atendimento,nan,nan,nan,nan,,2023,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$23.924.650,00","R$19.605.978,00","R$17.052.797,90",17.641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,Programa Local - Atendimento ao cliente,"R$0,00","R$6.146.319,00","R$5.644.083,92",3.506,,2022,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,Programa de Atendimento Individual,nan,nan,nan,nan,,2017,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$802.198,00","R$802.198,00","R$428.783,62",6.894,nan,nan,nan,nan,nan,nan,nan,nan
GO,Programa Articulação Institucional,nan,nan,nan,nan,,2016,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$0,00","R$60.039,00","R$8.302,59",0,nan,nan,nan,nan
GO,Programa de Atendimento Individual,nan,nan,nan,nan,,2016,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$565.154,00","R$950.906,00","R$429.898,41",10.236,nan,nan,nan,nan
GO,Programa Estadual de Desenvolvimento Rural,nan,nan,nan,nan,,2016,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$613.406,00","R$792.419,00","R$540.570,86",2.053,nan,nan,nan,nan
GO,Programa XXXXXXXX,nan,nan,nan,nan,,2016,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$216.000,00","R$250.500,00","R$216.308,30",5.037,nan,nan,nan,nan
GO,Programa Articulação Institucional,nan,nan,nan,nan,,2015,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$128.838,00","R$201.473,00","R$109.862,48",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,Programa de Atendimento Individual,nan,nan,nan,nan,,2015,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$22.187.429,00","R$21.102.734,00","R$16.247.521,50",237.936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,Programa Estadual de Comércio,nan,nan,nan,nan,,2015,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$7.381.292,00","R$9.421.342,00","R$6.207.029,77",29.112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,Programa Estadual de Desenvolvimento Rural,nan,nan,nan,nan,,2015,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$9.348.162,00","R$10.443.722,00","R$7.899.895,42",19.740,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,Programa Local - Atendimento ao cliente,nan,nan,nan,nan,,2015,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$5.620.451,00","R$4.691.013,00","R$2.727.657,64",7.577,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GO,Programa XXXXXXXX,nan,nan,nan,nan,,2015,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$5.262.783,00","R$4.523.154,00","R$3.018.113,63",8.474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MA,Inteligencia e Estrategia - MA,"R$3.366.000,00","R$3.061.500,00","R$2.253.975,09",0,,2022,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MT,MT - Programa Local - Inovação e Mercado,nan,nan,nan,nan,,2025,Janeiro,nan,nan,nan,nan,nan,nan,nan,nan,"R$3.200.000,00","R$3.200.000,00","R$28.359,58",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MT,MT - Programa Local - Inovação e Mercado,nan,nan,nan,nan,,2025,Fevereiro,nan,nan,nan,nan,nan,nan,nan,nan,"R$3.200.000,00","R$3.200.000,00","R$1.322.550,28",29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MT,MT - Programa Local - Inovação e Mercado,nan,nan,nan,nan,,2025,Março,nan,nan,nan,nan,nan,nan,nan,nan,"R$3.200.000,00","R$3.034.250,00","R$1.327.683,28",29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MT,MT - Programa Local - Projetos Especiais,nan,nan,nan,nan,,2025,Março,nan,nan,nan,nan,nan,nan,nan,nan,"R$12.000.000,00","R$12.000.000,00","R$0,00",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MT,MT - Programa Local - Inovação e Mercado,nan,nan,nan,nan,,2025,Abril,nan,nan,nan,nan,nan,nan,nan,nan,"R$3.200.000,00","R$3.034.250,00","R$1.333.596,28",29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MT,MT - Programa Local - Projetos Especiais,nan,nan,nan,nan,,2025,Abril,nan,nan,nan,nan,nan,nan,nan,nan,"R$12.000.000,00","R$12.000.000,00","R$0,00",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MT,MT - Programa Local - Inovação e Mercado,nan,nan,nan,nan,,2025,Maio,nan,nan,nan,nan,nan,nan,nan,nan,"R$3.200.000,00","R$3.445.250,00","R$1.336.535,28",29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MT,MT - Programa Local - Projetos Especiais,nan,nan,nan,nan,,2025,Maio,nan,nan,nan,nan,nan,nan,nan,nan,"R$12.000.000,00","R$12.000.000,00","R$0,00",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MT,MT - Programa Local - Inovação e Mercado,nan,nan,nan,nan,,2025,Junho,nan,nan,nan,nan,nan,nan,nan,nan,"R$3.200.000,00","R$3.445.250,00","R$1.400.393,51",29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MT,MT - Programa Local - Projetos Especiais,nan,nan,nan,nan,,2025,Junho,nan,nan,nan,nan,nan,nan,nan,nan,"R$12.000.000,00","R$11.300.000,00","R$0,00",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MT,MT - Programa Local - Inovação e Mercado,nan,nan,nan,nan,,2025,Julho,nan,nan,nan,nan,nan,nan,nan,nan,"R$3.200.000,00","R$3.445.250,00","R$1.433.431,95",32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MT,MT - Programa Local - Projetos Especiais,nan,nan,nan,nan,,2025,Julho,nan,nan,nan,nan,nan,nan,nan,nan,"R$12.000.000,00","R$11.300.000,00","R$0,00",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MT,MT - Programa Local - Inovação e Mercado,nan,nan,nan,nan,,2025,Agosto,nan,nan,nan,nan,nan,nan,nan,nan,"R$3.200.000,00","R$3.755.250,00","R$1.434.183,95",35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MT,MT - Programa Local - Projetos Especiais,nan,nan,nan,nan,,2025,Agosto,nan,nan,nan,nan,nan,nan,nan,nan,"R$12.000.000,00","R$3.727.394,00","R$0,00",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MT,MT - Programa Local - Inovação e Mercado,nan,nan,nan,nan,,2024,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$5.850.000,00","R$5.770.000,00","R$4.187.292,27",269,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MT,MT - Programa Local de Inovação e Mercado 2023,nan,nan,nan,nan,,2023,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$2.440.000,00","R$6.485.000,00","R$4.744.378,50",292,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
