UF,Programa Local,Previsto Original em 2025,Previsto Ajustado em 2025,Despesa Executado em 2025,Total de Atendimentos em 2025,Unnamed: 6,Ano,Mes
AL,AL - Programa Local - Articulação Rede de Parceiros para Competitividade com inovação,"R$4.103.519,00","R$4.103.519,00","R$8.254,28",0.0,,2025,Janeiro
AL,AL - Programa Local - Articulação Rede de Parceiros para Competitividade com inovação,"R$4.103.519,00","R$4.103.519,00","R$20.714,28",0.0,,2025,Fevereiro
AL,AL - Programa Local - Articulação Rede de Parceiros para Competitividade com inovação,"R$4.103.519,00","R$4.103.519,00","R$47.106,64",0.0,,2025,Março
AL,AL - Programa Local - Articulação Rede de Parceiros para Competitividade com inovação,"R$4.103.519,00","R$4.103.519,00","R$129.362,46",0.0,,2025,Abril
AL,AL - Programa Local - Articulação Rede de Parceiros para Competitividade com inovação,"R$4.103.519,00","R$4.438.107,00","R$334.292,29",0.0,,2025,Maio
AL,AL - Programa Local - Articulação Rede de Parceiros para Competitividade com inovação,"R$4.103.519,00","R$4.438.107,00","R$379.198,19",0.0,,2025,Junho
AL,AL - Programa Local - Articulação Rede de Parceiros para Competitividade com inovação,"R$4.103.519,00","R$4.438.107,00","R$577.107,16",0.0,,2025,Julho
AL,AL - Programa Local - Articulação Rede de Parceiros para Competitividade com inovação,"R$4.103.519,00","R$4.438.107,00","R$951.873,94",0.0,,2025,Agosto
AM,AM - TECNOLOGIA DISRUPTIVA,"R$864.000,00","R$864.000,00","R$0,00",0.0,,2025,Fevereiro
AM,AM - TECNOLOGIA DISRUPTIVA,"R$864.000,00","R$864.000,00","R$3.687,00",0.0,,2025,Março
AM,AM - TECNOLOGIA DISRUPTIVA,"R$864.000,00","R$864.000,00","R$7.371,00",0.0,,2025,Abril
AM,AM - TECNOLOGIA DISRUPTIVA,"R$864.000,00","R$864.000,00","R$21.229,44",0.0,,2025,Maio
AM,AM - TECNOLOGIA DISRUPTIVA,"R$864.000,00","R$864.000,00","R$34.530,96",0.0,,2025,Junho
AM,AM - TECNOLOGIA DISRUPTIVA,"R$864.000,00","R$864.000,00","R$38.632,46",0.0,,2025,Julho
AM,AM - TECNOLOGIA DISRUPTIVA,"R$864.000,00","R$864.000,00","R$38.632,46",0.0,,2025,Agosto
BA,BA - Programa Local UPEMI 2025,"R$5.505.343,00","R$5.505.343,00","R$3.096,54",18.0,,2025,Janeiro
BA,BA - Programa Local UPEMI 2025,"R$5.505.343,00","R$5.505.343,00","R$116.675,65",18.0,,2025,Fevereiro
BA,BA - Programa Local UPEMI 2025,"R$5.505.343,00","R$5.141.627,00","R$158.354,02",18.0,,2025,Março
BA,BA - Programa Local UPEMI 2025,"R$5.505.343,00","R$5.009.452,00","R$257.385,84",18.0,,2025,Abril
BA,BA - Programa Local UPEMI 2025,"R$5.505.343,00","R$5.009.452,00","R$426.398,98",45.0,,2025,Maio
BA,BA - Programa Local UPEMI 2025,"R$5.505.343,00","R$5.009.452,00","R$535.408,89",52.0,,2025,Junho
BA,BA - Programa Local UPEMI 2025,"R$5.505.343,00","R$6.509.452,00","R$662.752,02",58.0,,2025,Julho
BA,BA - Programa Local UPEMI 2025,"R$5.505.343,00","R$6.509.452,00","R$712.178,93",58.0,,2025,Agosto
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,"R$7.990.000,00","R$7.847.375,00","R$264.944,75",0.0,,2025,Janeiro
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,"R$7.990.000,00","R$8.014.029,00","R$462.164,34",0.0,,2025,Fevereiro
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,"R$7.990.000,00","R$8.286.349,00","R$687.059,34",0.0,,2025,Março
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,"R$7.990.000,00","R$8.287.273,00","R$1.026.382,76",0.0,,2025,Abril
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,"R$7.990.000,00","R$8.287.273,00","R$1.391.864,86",0.0,,2025,Maio
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,"R$7.990.000,00","R$8.552.573,00","R$1.719.750,51",0.0,,2025,Junho
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,"R$7.990.000,00","R$7.197.573,00","R$2.269.251,90",0.0,,2025,Julho
ES,ES - Modernização da Gestão e Fortalecimento Institucional do SEBRAE/ES,"R$7.990.000,00","R$9.392.573,00","R$2.707.397,06",0.0,,2025,Agosto
GO,GO - Programa Local de Atendimento,"R$14.961.780,00","R$18.205.731,00","R$638.665,72",530.0,,2025,Janeiro
GO,GO - Programa Local de Inovação,"R$712.306,00","R$869.899,00","R$0,00",0.0,,2025,Janeiro
GO,GO - Programa Local de Atendimento,"R$14.961.780,00","R$16.805.731,00","R$1.376.534,67",1.16,,2025,Fevereiro
GO,GO - Programa Local de Inovação,"R$712.306,00","R$869.899,00","R$0,00",0.0,,2025,Fevereiro
GO,GO - Programa Local de Atendimento,"R$14.961.780,00","R$16.930.731,00","R$1.609.459,93",2.651,,2025,Março
GO,GO - Programa Local de Inovação,"R$712.306,00","R$869.899,00","R$5.735,35",0.0,,2025,Março
GO,GO - Programa Local de Atendimento,"R$14.961.780,00","R$16.930.731,00","R$3.507.351,44",5.963,,2025,Abril
GO,GO - Programa Local de Inovação,"R$712.306,00","R$1.437.179,00","R$122.262,59",20.0,,2025,Abril
GO,GO - Programa Local de Atendimento,"R$14.961.780,00","R$16.526.451,00","R$4.904.242,46",7.201,,2025,Maio
GO,GO - Programa Local de Inovação,"R$712.306,00","R$1.680.299,00","R$285.423,78",55.0,,2025,Maio
GO,GO - Programa Local de Atendimento,"R$14.961.780,00","R$15.630.459,00","R$5.570.753,90",9.256,,2025,Junho
GO,GO - Programa Local de Inovação,"R$712.306,00","R$1.680.299,00","R$384.462,53",177.0,,2025,Junho
GO,GO - Programa Local de Atendimento,"R$14.961.780,00","R$15.733.459,00","R$6.781.063,17",9.851,,2025,Julho
GO,GO - Programa Local de Inovação,"R$712.306,00","R$1.680.299,00","R$455.775,59",180.0,,2025,Julho
GO,GO - Programa Local de Atendimento,"R$14.961.780,00","R$15.693.459,00","R$6.837.788,98",9.948,,2025,Agosto
GO,GO - Programa Local de Inovação,"R$712.306,00","R$1.680.299,00","R$466.721,86",180.0,,2025,Agosto
MT,MT - Programa Local - Inovação e Mercado,"R$3.200.000,00","R$3.200.000,00","R$28.359,58",0.0,,2025,Janeiro
MT,MT - Programa Local - Inovação e Mercado,"R$3.200.000,00","R$3.200.000,00","R$1.322.550,28",29.0,,2025,Fevereiro
MT,MT - Programa Local - Inovação e Mercado,"R$3.200.000,00","R$3.034.250,00","R$1.327.683,28",29.0,,2025,Março
MT,MT - Programa Local - Projetos Especiais,"R$12.000.000,00","R$12.000.000,00","R$0,00",0.0,,2025,Março
MT,MT - Programa Local - Inovação e Mercado,"R$3.200.000,00","R$3.034.250,00","R$1.333.596,28",29.0,,2025,Abril
MT,MT - Programa Local - Projetos Especiais,"R$12.000.000,00","R$12.000.000,00","R$0,00",0.0,,2025,Abril
MT,MT - Programa Local - Inovação e Mercado,"R$3.200.000,00","R$3.445.250,00","R$1.336.535,28",29.0,,2025,Maio
MT,MT - Programa Local - Projetos Especiais,"R$12.000.000,00","R$12.000.000,00","R$0,00",0.0,,2025,Maio
MT,MT - Programa Local - Inovação e Mercado,"R$3.200.000,00","R$3.445.250,00","R$1.400.393,51",29.0,,2025,Junho
MT,MT - Programa Local - Projetos Especiais,"R$12.000.000,00","R$11.300.000,00","R$0,00",0.0,,2025,Junho
MT,MT - Programa Local - Inovação e Mercado,"R$3.200.000,00","R$3.445.250,00","R$1.433.431,95",32.0,,2025,Julho
MT,MT - Programa Local - Projetos Especiais,"R$12.000.000,00","R$11.300.000,00","R$0,00",0.0,,2025,Julho
MT,MT - Programa Local - Inovação e Mercado,"R$3.200.000,00","R$3.755.250,00","R$1.434.183,95",35.0,,2025,Agosto
MT,MT - Programa Local - Projetos Especiais,"R$12.000.000,00","R$11.300.000,00","R$0,00",0.0,,2025,Agosto
MS,MS - Apoio e Fomento ao Associativismo,"R$500.000,00","R$500.000,00","-R$1.365,00",0.0,,2025,Janeiro
MS,MS - Estratégia de Centralidade no Cliente,"R$2.500.000,00","R$2.500.000,00","R$1.984,76",0.0,,2025,Janeiro
MS,MS - Fortalecimento do  Turismo Local,"R$2.026.279,00","R$2.026.279,00","-R$600,00",0.0,,2025,Janeiro
MS,MS - Impulsionamento da presença digital,"R$4.900.000,00","R$4.900.000,00","R$43.182,50",0.0,,2025,Janeiro
MS,MS - Inova TI,"R$7.500.000,00","R$7.077.293,00","R$189.711,08",0.0,,2025,Janeiro
MS,MS - Inovação e Negócios,"R$2.800.000,00","R$2.800.000,00","R$37.421,19",155.0,,2025,Janeiro
MS,MS - Mercado Internacional,"R$1.000.000,00","R$1.000.000,00","R$0,00",0.0,,2025,Janeiro
MS,MS - Parcerias Estratégicas,"R$2.000.000,00","R$2.000.000,00","R$87.058,62",0.0,,2025,Janeiro
MS,MS - Apoio e Fomento ao Associativismo,"R$500.000,00","R$500.000,00","R$32.182,25",57.0,,2025,Fevereiro
MS,MS - Estratégia de Centralidade no Cliente,"R$2.500.000,00","R$2.500.000,00","R$36.885,86",0.0,,2025,Fevereiro
MS,MS - Fortalecimento do  Turismo Local,"R$2.026.279,00","R$2.026.279,00","R$20.659,86",0.0,,2025,Fevereiro
MS,MS - Impulsionamento da presença digital,"R$4.900.000,00","R$4.900.000,00","R$262.626,63",0.0,,2025,Fevereiro
MS,MS - Inova TI,"R$7.500.000,00","R$6.577.293,00","R$842.160,22",0.0,,2025,Fevereiro
MS,MS - Inovação e Negócios,"R$2.800.000,00","R$2.800.000,00","R$228.635,71",452.0,,2025,Fevereiro
MS,MS - Mercado Internacional,"R$1.000.000,00","R$0,00","R$0,00",0.0,,2025,Fevereiro
MS,MS - Parcerias Estratégicas,"R$2.000.000,00","R$3.000.000,00","R$626.452,44",0.0,,2025,Fevereiro
MS,MS - Apoio e Fomento ao Associativismo,"R$500.000,00","R$500.000,00","R$79.320,25",57.0,,2025,Março
MS,MS - Estratégia de Centralidade no Cliente,"R$2.500.000,00","R$2.500.000,00","R$220.522,92",0.0,,2025,Março
MS,MS - Fortalecimento do  Turismo Local,"R$2.026.279,00","R$2.026.279,00","R$346.952,34",0.0,,2025,Março
MS,MS - Impulsionamento da presença digital,"R$4.900.000,00","R$4.900.000,00","R$445.508,29",0.0,,2025,Março
MS,MS - Inova TI,"R$7.500.000,00","R$6.577.293,00","R$237.883,08",0.0,,2025,Março
MS,MS - Inovação e Negócios,"R$2.800.000,00","R$2.800.000,00","R$313.498,05",596.0,,2025,Março
MS,MS - Parcerias Estratégicas,"R$2.000.000,00","R$3.000.000,00","R$930.552,44",0.0,,2025,Março
MS,MS - Apoio e Fomento ao Associativismo,"R$500.000,00","R$500.000,00","R$98.968,25",57.0,,2025,Abril
MS,MS - Estratégia de Centralidade no Cliente,"R$2.500.000,00","R$2.500.000,00","R$512.815,59",0.0,,2025,Abril
MS,MS - Fortalecimento do  Turismo Local,"R$2.026.279,00","R$2.026.279,00","R$977.179,72",0.0,,2025,Abril
MS,MS - Impulsionamento da presença digital,"R$4.900.000,00","R$4.900.000,00","R$823.502,96",0.0,,2025,Abril
MS,MS - Inova TI,"R$7.500.000,00","R$754.361,00","R$586.340,47",0.0,,2025,Abril
MS,MS - Inovação e Negócios,"R$2.800.000,00","R$2.800.000,00","R$515.455,74",872.0,,2025,Abril
MS,MS - Parcerias Estratégicas,"R$2.000.000,00","R$3.000.000,00","R$1.305.906,40",220.0,,2025,Abril
MS,MS - Apoio e Fomento ao Associativismo,"R$500.000,00","R$500.000,00","R$141.757,25",57.0,,2025,Maio
MS,MS - Estratégia de Centralidade no Cliente,"R$2.500.000,00","R$2.500.000,00","R$715.782,52",2.0,,2025,Maio
MS,MS - Fortalecimento do  Turismo Local,"R$2.026.279,00","R$2.026.279,00","R$1.293.649,93",0.0,,2025,Maio
MS,MS - Impulsionamento da presença digital,"R$4.900.000,00","R$4.900.000,00","R$1.155.115,87",0.0,,2025,Maio
MS,MS - Inova TI,"R$7.500.000,00","R$754.361,00","R$634.291,01",0.0,,2025,Maio
MS,MS - Inovação e Negócios,"R$2.800.000,00","R$2.800.000,00","R$691.003,01",1.159,,2025,Maio
MS,MS - Parcerias Estratégicas,"R$2.000.000,00","R$3.200.000,00","R$2.042.104,77",529.0,,2025,Maio
MS,MS - Apoio e Fomento ao Associativismo,"R$500.000,00","R$500.000,00","R$191.731,25",57.0,,2025,Junho
MS,MS - Estratégia de Centralidade no Cliente,"R$2.500.000,00","R$2.500.000,00","R$1.338.247,30",3.0,,2025,Junho
MS,MS - Fortalecimento do  Turismo Local,"R$2.026.279,00","R$2.026.279,00","R$1.348.944,93",0.0,,2025,Junho
MS,MS - Impulsionamento da presença digital,"R$4.900.000,00","R$4.900.000,00","R$1.405.818,79",0.0,,2025,Junho
MS,MS - Inova TI,"R$7.500.000,00","R$754.361,00","R$670.841,78",0.0,,2025,Junho
MS,MS - Inovação e Negócios,"R$2.800.000,00","R$2.800.000,00","R$1.648.826,09",1.237,,2025,Junho
MS,MS - Parcerias Estratégicas,"R$2.000.000,00","R$3.200.000,00","R$2.509.830,06",475.0,,2025,Junho
MS,MS - Apoio e Fomento ao Associativismo,"R$500.000,00","R$500.000,00","R$231.421,25",57.0,,2025,Julho
MS,MS - Estratégia de Centralidade no Cliente,"R$2.500.000,00","R$3.500.000,00","R$2.300.251,97",47.0,,2025,Julho
MS,MS - Fortalecimento do  Turismo Local,"R$2.026.279,00","R$2.026.279,00","R$1.353.916,53",0.0,,2025,Julho
MS,MS - Impulsionamento da presença digital,"R$4.900.000,00","R$4.900.000,00","R$1.775.978,68",0.0,,2025,Julho
MS,MS - Inova TI,"R$7.500.000,00","R$2.096.428,00","R$1.189.461,82",0.0,,2025,Julho
