UF,Programa Local,Previsto Original em 2025,Previsto Ajustado em 2025,Despesa Executado em 2025,Total de Atendimentos em 2025,Unnamed: 6,Ano,Mes
MS,MS - Inovação e Negócios,"R$2.800.000,00","R$2.800.000,00","R$1.122.454,16",1.661,,2025,Julho
MS,MS - Parcerias Estratégicas,"R$2.000.000,00","R$5.000.000,00","R$2.983.661,46",622.0,,2025,Julho
MS,MS - Apoio e Fomento ao Associativismo,"R$500.000,00","R$500.000,00","R$231.421,25",57.0,,2025,Agosto
MS,MS - Estratégia de Centralidade no Cliente,"R$2.500.000,00","R$3.500.000,00","R$2.508.122,73",47.0,,2025,Agosto
MS,MS - Fortalecimento do  Turismo Local,"R$2.026.279,00","R$2.026.279,00","R$1.356.692,78",0.0,,2025,Agosto
MS,MS - Impulsionamento da presença digital,"R$4.900.000,00","R$4.900.000,00","R$1.857.856,95",0.0,,2025,Agosto
MS,MS - Inova TI,"R$7.500.000,00","R$2.096.428,00","R$1.225.449,84",0.0,,2025,Agosto
MS,MS - Inovação e Negócios,"R$2.800.000,00","R$2.800.000,00","R$1.330.800,51",1.995,,2025,Agosto
MS,MS - Parcerias Estratégicas,"R$2.000.000,00","R$5.000.000,00","R$3.069.979,86",370.0,,2025,Agosto
PA,PA - Al Investe Verde 2025,"R$1.550.000,00","R$1.550.000,00","R$0,00",0.0,,2025,Janeiro
PA,PA - Comunicação em Rede - PA,"R$3.500.000,00","R$3.500.000,00","R$435.730,72",0.0,,2025,Janeiro
PA,PA - COP 30 Pará,"R$6.000.000,00","R$6.000.000,00","R$66.815,59",0.0,,2025,Janeiro
PA,PA - Gestão da Estratégia Pará,"R$2.400.000,00","R$3.000.000,00","R$59.487,70",0.0,,2025,Janeiro
PA,PA - Sustenta Inova 2025,"R$600.000,00","R$600.000,00","R$248,00",0.0,,2025,Janeiro
PA,PA - Al Investe Verde 2025,"R$1.550.000,00","R$1.550.000,00","R$1.281,00",0.0,,2025,Fevereiro
PA,PA - Comunicação em Rede - PA,"R$3.500.000,00","R$3.500.000,00","R$1.064.941,33",0.0,,2025,Fevereiro
PA,PA - COP 30 Pará,"R$6.000.000,00","R$6.000.000,00","R$246.586,17",0.0,,2025,Fevereiro
PA,PA - Gestão da Estratégia Pará,"R$2.400.000,00","R$3.000.000,00","R$230.165,16",0.0,,2025,Fevereiro
PA,PA - Gestão de Soluções - PA,"R$700.000,00","R$700.000,00","R$40.297,04",0.0,,2025,Fevereiro
PA,PA - Sustenta Inova 2025,"R$600.000,00","R$1.341.530,00","R$2.048,00",3.0,,2025,Fevereiro
PA,PA - Al Investe Verde 2025,"R$1.550.000,00","R$1.550.000,00","R$1.281,00",0.0,,2025,Março
PA,PA - Comunicação em Rede - PA,"R$3.500.000,00","R$3.500.000,00","R$1.721.945,88",0.0,,2025,Março
PA,PA - COP 30 Pará,"R$6.000.000,00","R$6.000.000,00","R$1.187.698,05",25.0,,2025,Março
PA,PA - Gestão da Estratégia Pará,"R$2.400.000,00","R$3.720.000,00","R$353.189,24",0.0,,2025,Março
PA,PA - Gestão de Soluções - PA,"R$700.000,00","R$700.000,00","R$40.297,04",0.0,,2025,Março
PA,PA - Sustenta Inova 2025,"R$600.000,00","R$3.301.215,00","R$22.077,40",12.0,,2025,Março
PA,PA - Al Investe Verde 2025,"R$1.550.000,00","R$1.550.000,00","R$4.536,00",0.0,,2025,Abril
PA,PA - Comunicação em Rede - PA,"R$3.500.000,00","R$3.500.000,00","R$2.392.498,72",0.0,,2025,Abril
PA,PA - COP 30 Pará,"R$6.000.000,00","R$6.000.000,00","R$1.632.922,94",36.0,,2025,Abril
PA,PA - Gestão da Estratégia Pará,"R$2.400.000,00","R$4.920.000,00","R$1.000.722,77",0.0,,2025,Abril
PA,PA - Gestão de Soluções - PA,"R$700.000,00","R$700.000,00","R$75.270,98",0.0,,2025,Abril
PA,PA - Sustenta Inova 2025,"R$600.000,00","R$3.301.215,00","R$637.034,31",32.0,,2025,Abril
PA,PA - Al Investe Verde 2025,"R$1.550.000,00","R$1.550.000,00","R$49.924,80",0.0,,2025,Maio
PA,PA - Comunicação em Rede - PA,"R$3.500.000,00","R$3.500.000,00","R$3.043.831,71",0.0,,2025,Maio
PA,PA - COP 30 Pará,"R$6.000.000,00","R$6.000.000,00","R$2.771.276,55",455.0,,2025,Maio
PA,PA - Gestão da Estratégia Pará,"R$2.400.000,00","R$4.920.000,00","R$1.445.603,56",0.0,,2025,Maio
PA,PA - Gestão de Soluções - PA,"R$700.000,00","R$700.000,00","R$150.776,36",0.0,,2025,Maio
PA,PA - Sustenta Inova 2025,"R$600.000,00","R$3.301.215,00","R$683.823,29",93.0,,2025,Maio
PA,PA - Al Investe Verde 2025,"R$1.550.000,00","R$1.550.000,00","R$55.872,79",0.0,,2025,Junho
PA,PA - Comunicação em Rede - PA,"R$3.500.000,00","R$3.920.000,00","R$3.664.203,65",0.0,,2025,Junho
PA,PA - COP 30 Pará,"R$6.000.000,00","R$6.000.000,00","R$3.067.331,68",461.0,,2025,Junho
PA,PA - Gestão da Estratégia Pará,"R$2.400.000,00","R$4.503.000,00","R$2.794.991,20",0.0,,2025,Junho
PA,PA - Gestão de Soluções - PA,"R$700.000,00","R$700.000,00","R$233.039,10",0.0,,2025,Junho
PA,PA - Sustenta Inova 2025,"R$600.000,00","R$3.301.215,00","R$852.794,56",96.0,,2025,Junho
PA,PA - Al Investe Verde 2025,"R$1.550.000,00","R$1.550.000,00","R$120.170,17",0.0,,2025,Julho
PA,PA - Comunicação em Rede - PA,"R$3.500.000,00","R$4.320.000,00","R$3.931.383,53",0.0,,2025,Julho
PA,PA - COP 30 Pará,"R$6.000.000,00","R$6.000.000,00","R$3.696.788,10",608.0,,2025,Julho
PA,PA - Gestão da Estratégia Pará,"R$2.400.000,00","R$4.777.000,00","R$3.727.821,64",0.0,,2025,Julho
PA,PA - Gestão de Soluções - PA,"R$700.000,00","R$700.000,00","R$276.418,11",0.0,,2025,Julho
PA,PA - Sustenta Inova 2025,"R$600.000,00","R$10.290.779,00","R$936.929,26",129.0,,2025,Julho
PA,PA - Al Investe Verde 2025,"R$1.550.000,00","R$1.550.000,00","R$141.366,37",0.0,,2025,Agosto
PA,PA - Comunicação em Rede - PA,"R$3.500.000,00","R$4.320.000,00","R$3.956.141,03",0.0,,2025,Agosto
PA,PA - COP 30 Pará,"R$6.000.000,00","R$6.000.000,00","R$3.765.134,24",608.0,,2025,Agosto
PA,PA - Gestão da Estratégia Pará,"R$2.400.000,00","R$4.777.000,00","R$3.822.641,66",0.0,,2025,Agosto
PA,PA - Gestão de Soluções - PA,"R$700.000,00","R$700.000,00","R$276.418,11",0.0,,2025,Agosto
PA,PA - Sustenta Inova 2025,"R$600.000,00","R$10.290.779,00","R$2.547.762,94",129.0,,2025,Agosto
PA,PA - Al Investe Verde 2025,"R$12.400.000,00","R$12.400.000,00","R$374.432,13",0.0,,2025,Novembro
PR,PR - Ações locais Sebrae Paraná,"R$31.610.664,00","R$32.937.213,00","R$296.412,62",341.0,,2025,Janeiro
PR,PR - Ações locais Sebrae Paraná,"R$31.610.664,00","R$38.931.399,00","R$2.522.143,51",1.871,,2025,Fevereiro
PR,PR - Ações locais Sebrae Paraná,"R$31.610.664,00","R$38.724.904,00","R$4.070.520,97",2.828,,2025,Março
PR,PR - Ações locais Sebrae Paraná,"R$31.610.664,00","R$41.568.397,00","R$5.535.961,60",3.865,,2025,Abril
PR,PR - Ações locais Sebrae Paraná,"R$31.610.664,00","R$41.560.380,00","R$7.042.376,11",5.145,,2025,Maio
PR,PR - Ações locais Sebrae Paraná,"R$31.610.664,00","R$41.812.945,00","R$9.135.988,67",7.668,,2025,Junho
PR,PR - Ações locais Sebrae Paraná,"R$31.610.664,00","R$40.430.314,00","R$11.232.563,25",8.57,,2025,Julho
PR,PR - Ações locais Sebrae Paraná,"R$31.610.664,00","R$40.612.810,00","R$12.128.797,88",8.606,,2025,Agosto
PE,PE - Competitividade Pernambucana,"R$40.327.079,00","R$36.040.432,00","R$787.724,73",429.0,,2025,Janeiro
PE,PE - PE – Aplicação dos Propósitos Locais,"R$6.333.500,00","R$22.516.923,00","R$1.177.656,46",0.0,,2025,Janeiro
PE,PE - Competitividade Pernambucana,"R$40.327.079,00","R$31.760.006,00","R$1.559.182,85",2.335,,2025,Fevereiro
PE,PE - PE – Aplicação dos Propósitos Locais,"R$6.333.500,00","R$22.226.923,00","R$2.151.861,90",0.0,,2025,Fevereiro
PE,PE - Competitividade Pernambucana,"R$40.327.079,00","R$32.481.177,00","R$3.959.823,63",2.739,,2025,Março
PE,PE - PE – Aplicação dos Propósitos Locais,"R$6.333.500,00","R$22.936.292,00","R$2.880.446,09",0.0,,2025,Março
PE,PE - Competitividade Pernambucana,"R$40.327.079,00","R$32.506.649,00","R$6.163.043,46",4.444,,2025,Abril
PE,PE - PE – Aplicação dos Propósitos Locais,"R$6.333.500,00","R$23.086.409,00","R$3.976.050,07",0.0,,2025,Abril
PE,PE - Competitividade Pernambucana,"R$40.327.079,00","R$32.366.649,00","R$8.962.841,15",7.052,,2025,Maio
PE,PE - PE – Aplicação dos Propósitos Locais,"R$6.333.500,00","R$23.086.410,00","R$5.136.494,25",0.0,,2025,Maio
PE,PE - Competitividade Pernambucana,"R$40.327.079,00","R$30.073.410,00","R$10.930.282,01",8.95,,2025,Junho
PE,PE - PE – Aplicação dos Propósitos Locais,"R$6.333.500,00","R$21.361.139,00","R$5.823.458,74",88.0,,2025,Junho
PE,PE - Competitividade Pernambucana,"R$40.327.079,00","R$30.940.092,00","R$12.816.099,79",11.757,,2025,Julho
PE,PE - PE – Aplicação dos Propósitos Locais,"R$6.333.500,00","R$21.074.139,00","R$7.396.306,38",88.0,,2025,Julho
PE,PE - Competitividade Pernambucana,"R$40.327.079,00","R$31.140.092,00","R$14.299.362,61",12.331,,2025,Agosto
PE,PE - PE – Aplicação dos Propósitos Locais,"R$6.333.500,00","R$20.529.139,00","R$7.772.529,08",88.0,,2025,Agosto
RJ,RJ - Energia e Conexões Empresariais,"R$1.500.000,00","R$1.500.000,00","R$844,30",0.0,,2025,Fevereiro
RJ,RJ - Energia e Conexões Empresariais,"R$1.500.000,00","R$1.500.000,00","R$844,30",0.0,,2025,Março
RJ,RJ - Energia e Conexões Empresariais,"R$1.500.000,00","R$1.500.000,00","R$6.941,17",0.0,,2025,Abril
RJ,RJ - Energia e Conexões Empresariais,"R$1.500.000,00","R$1.500.000,00","R$7.930,17",0.0,,2025,Maio
RJ,RJ - Energia e Conexões Empresariais,"R$1.500.000,00","R$1.500.000,00","R$29.047,27",0.0,,2025,Junho
RJ,RJ - Energia e Conexões Empresariais,"R$1.500.000,00","R$1.500.000,00","R$61.420,28",0.0,,2025,Julho
RJ,RJ - Energia e Conexões Empresariais,"R$1.500.000,00","R$1.500.000,00","R$61.420,28",0.0,,2025,Agosto
SC,SC - Programa de Fortalecimento de Parcerias Estratégicas,"R$11.010.280,00","R$11.010.280,00","R$39.483,23",532.0,,2025,Janeiro
SC,SC - Programa de Fortalecimento de Parcerias Estratégicas,"R$11.010.280,00","R$11.010.280,00","R$414.026,33",759.0,,2025,Fevereiro
SC,SC - Programa de Fortalecimento de Parcerias Estratégicas,"R$11.010.280,00","R$11.168.101,00","R$825.901,64",769.0,,2025,Março
SC,SC - Programa de Fortalecimento de Parcerias Estratégicas,"R$11.010.280,00","R$10.618.101,00","R$1.292.630,25",784.0,,2025,Abril
SC,SC - Programa de Fortalecimento de Parcerias Estratégicas,"R$11.010.280,00","R$7.202.514,00","R$1.317.853,08",768.0,,2025,Maio
SC,SC - Programa de Fortalecimento de Parcerias Estratégicas,"R$11.010.280,00","R$7.118.104,00","R$1.481.828,11",787.0,,2025,Junho
SC,SC - Programa de Fortalecimento de Parcerias Estratégicas,"R$11.010.280,00","R$7.118.104,00","R$1.940.270,25",1.045,,2025,Julho
SC,SC - Programa de Fortalecimento de Parcerias Estratégicas,"R$11.010.280,00","R$7.118.104,00","R$2.201.348,54",1.045,,2025,Agosto
SP,SP - Competitividade do MEI,"R$6.747.333,00","R$6.747.333,00","R$223.497,61",0.0,,2025,Janeiro
SP,SP - Competitividade do MEI,"R$6.747.333,00","R$6.747.333,00","R$1.413.618,32",2.748,,2025,Fevereiro
SP,SP - Competitividade do MEI,"R$6.747.333,00","R$6.747.333,00","R$2.139.910,88",6.264,,2025,Março
SP,SP - Competitividade do MEI,"R$6.747.333,00","R$6.747.333,00","R$2.525.989,11",9.923,,2025,Abril
SP,SP - Competitividade do MEI,"R$6.747.333,00","R$6.747.333,00","R$2.787.846,73",20.896,,2025,Maio
SP,SP - Competitividade do MEI,"R$6.747.333,00","R$6.747.333,00","R$3.390.223,89",33.585,,2025,Junho
SP,SP - Competitividade do MEI,"R$6.747.333,00","R$8.070.995,00","R$3.534.034,69",41.874,,2025,Julho
SP,SP - Competitividade do MEI,"R$6.747.333,00","R$8.070.995,00","R$3.534.034,69",42.734,,2025,Agosto
TO,TO - Programa Rede Empreender,"R$2.618.143,00","R$2.618.143,00","R$523,73",0.0,,2025,Janeiro
TO,TO - Parcerias Institucionais,"R$8.020.000,00","R$8.020.000,00","R$0,00",0.0,,2025,Fevereiro
TO,TO - Programa Rede Empreender,"R$2.618.143,00","R$2.618.143,00","R$97.789,03",128.0,,2025,Fevereiro
TO,TO - Parcerias Institucionais,"R$8.020.000,00","R$7.910.000,00","R$0,00",0.0,,2025,Março
TO,TO - Programa Rede Empreender,"R$2.618.143,00","R$2.618.143,00","R$224.436,04",269.0,,2025,Março
TO,TO - Parcerias Institucionais,"R$8.020.000,00","R$7.910.000,00","R$0,00",0.0,,2025,Abril
TO,TO - Programa Rede Empreender,"R$2.618.143,00","R$2.618.143,00","R$311.094,81",463.0,,2025,Abril
TO,TO - Parcerias Institucionais,"R$8.020.000,00","R$7.445.974,00","R$0,00",0.0,,2025,Maio
TO,TO - Programa Rede Empreender,"R$2.618.143,00","R$2.618.143,00","R$663.818,04",742.0,,2025,Maio
TO,TO - Parcerias Institucionais,"R$8.020.000,00","R$7.445.974,00","R$30.911,10",0.0,,2025,Junho
TO,TO - Programa Rede Empreender,"R$2.618.143,00","R$2.618.143,00","R$883.499,36",1.243,,2025,Junho
TO,TO - Parcerias Institucionais,"R$8.020.000,00","R$7.445.974,00","R$36.978,13",0.0,,2025,Julho
TO,TO - Programa Rede Empreender,"R$2.618.143,00","R$2.498.143,00","R$1.080.358,30",1.622,,2025,Julho
TO,TO - Parcerias Institucionais,"R$8.020.000,00","R$9.580.592,00","R$37.642,33",0.0,,2025,Agosto
TO,TO - Programa Rede Empreender,"R$2.618.143,00","R$2.498.143,00","R$1.147.861,01",1.699,,2025,Agosto
